uniqueID,drugName,condition,rating,date,usefulCount
79569,Plan B One-Step,Emergency Contraception,8,19-Jan-12,21
17957,Ethinyl estradiol / etonogestrel,Birth Control,10,13-Dec-12,4
219567,Microgestin Fe 1.5 / 30,Birth Control,1,31-Oct-16,4
171525,Wellbutrin,Major Depressive Disorde,8,6-Mar-15,49
173027,Clonazepam,Anxiety,6,24-Mar-13,20
202002,Benzoyl peroxide / clindamycin,Acne,4,26-Jan-17,2
143003,Etonogestrel,Birth Control,3,15-Aug-17,0
31908,Miconazole,Vaginal Yeast Infection,1,23-Jul-15,5
3350,Nitrofurantoin,Bladder Infection,9,6-Jan-16,7
226299,Etonogestrel,Birth Control,5,28-Aug-15,7
190325,Ortho Tri-Cyclen Lo,Birth Control,9,23-Dec-13,7
146651,Tamsulosin,Benign Prostatic Hyperplasia,6,7-Aug-11,104
25240,Tofacitinib,Rheumatoid Arthritis,9,20-Dec-13,75
5357,Cryselle,Endometriosis,7,2-Feb-14,14
13407,Amphetamine / dextroamphetamine,ADHD,2,20-May-15,57
46742,Clindamycin,Acne,8,13-Aug-16,32
11464,Pramipexole,Restless Legs Syndrome,1,4-Jun-16,16
124544,Skyla,Birth Control,10,14-Jul-15,3
229996,Lastacaft,"Conjunctivitis, Allergic",1,30-Nov-11,36
131523,Effexor XR,Anxiety,2,27-Aug-17,13
209386,Nifedipine,Raynaud's Syndrome,1,19-Jul-14,22
229572,Lurasidone,Schizophrenia,8,19-Feb-15,26
105440,Afrezza,"Diabetes, Type 1",10,12-Feb-15,125
201582,Zoloft,Depression,1,14-Jan-13,51
158346,Ziprasidone,Schizophrenia,10,20-Apr-08,33
159659,Bactrim,Kidney Infections,1,6-Dec-17,0
15423,Ethinyl estradiol / norethindrone,Birth Control,3,7-Feb-17,4
95748,Sertraline,Major Depressive Disorde,10,2-Nov-14,88
6971,Aluminum chloride hexahydrate,Hyperhidrosis,7,5-Nov-15,5
131683,Effexor XR,Depression,1,24-Apr-16,18
188604,ParaGard,Birth Control,1,29-Jan-16,4
19559,Pregabalin,Generalized Anxiety Disorde,10,31-Jul-13,228
104580,Ethinyl estradiol / levonorgestrel,Birth Control,9,16-Jul-11,4
26989,Ultram,Pain,10,24-Feb-12,36
128575,Phentermine,Obesity,10,7-Jun-15,5
122089,Venlafaxine,Depression,8,13-Dec-10,36
191146,Campral,Alcohol Dependence,10,12-Nov-09,80
120889,Venlafaxine,Depression,1,12-Oct-17,5
167387,Levonorgestrel,Emergency Contraception,10,20-Mar-16,14
204427,BuSpar,Anxiety,4,13-Sep-15,17
58200,Acetaminophen / hydrocodone,Pain,8,20-Oct-08,21
147575,Aviane,Birth Control,10,11-Jan-11,9
181913,Inderal,Migraine Prevention,10,29-Jan-15,45
177034,Promethazine,Nausea/Vomiting,10,25-Sep-10,22
213569,Tioconazole,Vaginal Yeast Infection,3,13-Sep-17,0
138243,Orthovisc,Osteoarthritis,1,30-Jul-17,12
107660,Implanon,Birth Control,5,9-Jul-10,1
34479,Marezine,Motion Sickness,10,24-Jul-13,22
129438,Levonorgestrel,Birth Control,10,26-Aug-15,1
102941,Aripiprazole,Bipolar Disorde,8,26-Sep-10,16
167908,Minoxidil,High Blood Pressure,1,4-Jan-16,10
56193,Humira,Psoriatic Arthritis,10,21-May-17,4
159628,"Insulin inhalation, rapid acting","Diabetes, Type 1",1,13-May-15,9
58280,Acetaminophen / hydrocodone,Pain,9,16-Apr-08,15
38461,Phenazopyridine,Interstitial Cystitis,10,12-Jul-13,34
128928,Levonorgestrel,Birth Control,10,12-Dec-15,0
41991,Clonidine,ADHD,10,30-Apr-11,159
85618,Ethinyl estradiol / norgestimate,Birth Control,4,20-Jul-14,35
62652,Nicoderm CQ,Smoking Cessation,10,24-Feb-17,14
129850,Levonorgestrel,Emergency Contraception,8,27-Apr-15,9
103401,Celecoxib,Osteoarthritis,1,12-Feb-09,35
45260,Fluoxetine,Major Depressive Disorde,10,23-Nov-15,58
222701,Topamax,Migraine Prevention,1,14-Sep-15,31
218886,Depakote,Bipolar Disorde,8,22-Jan-12,22
224062,Riboflavin,Migraine Prevention,8,24-Aug-11,22
9723,Lo Loestrin Fe,Birth Control,1,2-Oct-15,3
215685,Copper,Birth Control,5,11-Apr-17,6
188968,Drospirenone / estradiol,Postmenopausal Symptoms,10,2-Jun-17,7
224823,Bupropion,Depression,4,13-Jan-17,15
169168,Bacitracin / neomycin / polymyxin b,Bacterial Skin Infection,10,30-Apr-17,0
138742,Phentermine,Weight Loss,9,18-May-11,19
81226,Yaz,Birth Control,2,4-Dec-16,4
215782,Copper,Birth Control,10,17-Nov-16,24
219697,Amitriptyline,ibromyalgia,1,30-Nov-17,0
168177,Jolessa,Birth Control,9,19-Jul-09,5
21821,Guaifenesin / pseudoephedrine,Cough and Nasal Congestion,9,14-Oct-11,12
189728,Oxycodone,Pain,10,10-Sep-08,60
108899,Nexplanon,Birth Control,3,4-Jul-17,2
224904,Bupropion,Depression,5,4-Sep-16,11
135063,Brisdelle,Hot Flashes,2,30-Jan-16,15
225258,Bupropion,Smoking Cessation,10,7-Oct-15,11
6760,Beyaz,Acne,10,14-Aug-12,12
9695,Lo Loestrin Fe,Birth Control,10,10-Sep-15,10
44179,Ethinyl estradiol / norgestimate,Birth Control,5,7-Aug-11,2
65334,Yasmin,Acne,10,8-Feb-16,21
225793,Bupropion,ADHD,10,15-Jun-11,224
201017,Zoloft,Depression,2,28-Jun-17,14
134836,Nucynta ER,Diabetic Peripheral Neuropathy,1,22-Jul-16,14
181313,Prozac,Major Depressive Disorde,1,17-Nov-15,24
204311,BuSpar,Anxiety,3,31-Dec-16,21
167965,Kariva,Birth Control,6,17-Nov-09,4
140925,Escitalopram,Depression,10,21-Dec-15,63
33560,Microgestin Fe 1 / 20,12</span> users found this comment helpful.,9,24-Dec-12,12
81808,Liraglutide,"Diabetes, Type 2",9,30-Mar-17,26
223540,Sutent,Renal Cell Carcinoma,9,23-Dec-10,80
15168,Ethinyl estradiol / norethindrone,Birth Control,8,18-May-17,6
72043,Tramadol,Pain,1,2-Jun-15,18
53685,Tylenol with Codeine #3,Pain,1,18-Apr-17,2
204466,BuSpar,Panic Disorde,10,26-Oct-14,84
70808,Magnesium citrate,Constipation,10,17-Feb-17,16
214538,Tioconazole,Vaginal Yeast Infection,10,11-Apr-15,22
230576,Depo-Provera,Birth Control,6,15-Apr-11,2
192374,Drospirenone / ethinyl estradiol,,4,13-Apr-15,8
187095,Safyral,Birth Control,5,12-Jul-15,2
165665,Levonorgestrel,Emergency Contraception,10,20-Apr-17,2
131772,Effexor XR,Depression,10,24-Dec-15,28
176098,Desyrel,Insomnia,6,7-Feb-12,26
103111,Glyburide,"Diabetes, Type 2",9,10-Jul-13,11
214584,Escitalopram,Generalized Anxiety Disorde,10,25-Nov-17,6
58995,Aldesleukin,Renal Cell Carcinoma,10,13-Sep-10,13
201473,Zoloft,Social Anxiety Disorde,8,24-Feb-15,47
186353,Desvenlafaxine,Depression,3,15-Jan-12,7
165767,Levonorgestrel,,7,3-Apr-17,0
192633,Drospirenone / ethinyl estradiol,Birth Control,4,17-Jan-12,7
165109,Phentermine / topiramate,Obesity,10,29-May-14,48
205428,Pristiq,Major Depressive Disorde,3,9-Apr-15,11
229587,Lurasidone,Bipolar Disorde,5,5-Jul-15,0
31465,Miconazole,Vaginal Yeast Infection,3,21-Apr-16,3
136044,Acamprosate,Alcohol Dependence,10,25-Oct-10,62
10545,Spironolactone,Acne,10,12-Jan-15,82
180154,Doxylamine / pyridoxine,Nausea/Vomiting of Pregnancy,3,18-Jan-17,6
53409,Demerol,Pain,10,15-Sep-09,32
37326,Vyvanse,Binge Eating Disorde,8,15-Oct-15,18
230601,Depo-Provera,Birth Control,10,5-Sep-11,3
5486,Sovaldi,Hepatitis C,9,11-Jan-16,9
64109,Sertraline,Depression,3,28-Apr-17,12
70424,Motrin IB,Back Pain,9,10-Jun-09,20
66458,Valacyclovir,Cold Sores,9,12-Nov-11,7
14420,Buprenorphine / naloxone,Opiate Dependence,10,7-Aug-10,16
198057,Metoprolol,Heart Attack,5,23-May-11,14
205505,Pristiq,Depression,7,10-Nov-13,81
120460,Montelukast,Asthma,9,3-Sep-09,7
221339,Dextromethorphan,Cough,2,25-Oct-16,10
171255,Levitra,Erectile Dysfunction,4,14-Sep-17,2
195055,Restoril,Insomnia,1,6-Jun-15,23
75416,Azathioprine,Autoimmune Hepatitis,10,14-Mar-16,10
179764,Adapalene / benzoyl peroxide,Acne,2,12-Jan-16,1
210167,Linzess,"Constipation, Chronic",10,24-Feb-17,25
194809,Levetiracetam,Seizures,9,7-Dec-16,28
221626,Ziana,Acne,10,24-Apr-12,30
145956,Suboxone,Opiate Dependence,5,29-May-17,19
110030,Nexplanon,Birth Control,9,5-May-16,2
135690,Tinidazole,Bacterial Vaginitis,5,31-Aug-14,12
115272,Diazepam,Not Listed / Othe,10,2-Apr-09,9
10485,Spironolactone,Acne,9,17-Apr-16,7
170238,Quetiapine,Bipolar Disorde,9,17-Aug-16,23
113665,Acetaminophen / butalbital / caffeine,Headache,10,12-Jan-09,30
14924,Ethinyl estradiol / norethindrone,Birth Control,5,11-Sep-17,2
223117,Estradiol,Postmenopausal Symptoms,10,20-Feb-16,11
106073,Gabapentin,ibromyalgia,9,17-May-16,43
188723,ParaGard,Birth Control,10,24-Jun-15,7
115374,Propofol,Anesthesia,10,16-Apr-16,9
199475,Depo-Provera,Birth Control,9,6-Mar-15,1
66036,Propranolol,mance Anxiety,10,23-Oct-14,59
179979,Adapalene / benzoyl peroxide,Acne,9,12-Mar-14,27
16674,Yaz,Menstrual Disorders,8,1-Oct-09,8
35120,Levofloxacin,Pneumonia,1,27-May-16,4
169001,Vilazodone,Depression,10,22-Jun-12,25
157670,Accutane,Acne,10,11-May-16,28
225775,Bupropion,Depression,10,5-Aug-12,41
68412,Nalbuphine,Pain,7,19-May-16,1
28898,Lexapro,Depression,10,14-Jul-09,13
170146,Quetiapine,Generalized Anxiety Disorde,9,10-Apr-17,25
57137,MiraLax,"Constipation, Acute",10,13-Jun-11,142
173112,Clonazepam,Anxiety,10,16-Aug-11,31
224041,Phenobarbital,Seizures,9,2-Dec-16,5
166983,Levonorgestrel,Birth Control,9,25-Jun-16,3
133232,Tri-Sprintec,0</span> users found this comment helpful.,5,20-Dec-11,0
1103,Metronidazole,Rosacea,9,29-Feb-12,110
72195,Tramadol,Chronic Pain,9,31-May-14,20
197824,Metoprolol,Benign Essential Trem,9,19-Feb-17,4
36268,Imiquimod,Human Papilloma Virus,8,2-Nov-15,12
206605,Caffeine,Hypersomnia,8,15-Apr-12,28
165916,Levonorgestrel,Birth Control,10,5-Mar-17,7
227136,Etonogestrel,Birth Control,8,24-May-14,29
32246,Lisinopril,Diabetic Kidney Disease,1,7-Jul-17,3
80198,Benzonatate,Cough,10,30-Sep-09,21
115012,Diazepam,Meniere's Disease,10,14-Nov-15,52
159489,Ayr Saline Nasal,Nasal Congestion,4,11-Sep-16,1
121298,Venlafaxine,Depression,1,15-Jun-16,24
217603,Clarithromycin,Pneumonia,9,26-Feb-11,20
137706,Enbrel,Psoriatic Arthritis,8,19-Sep-16,11
15765,Ethinyl estradiol / norethindrone,Birth Control,3,26-Sep-16,0
24509,Polyethylene glycol 3350 with electrolytes,Bowel Preparation,10,17-Mar-16,42
107693,Implanon,Birth Control,5,5-May-10,1
50635,Gabapentin,Pain,9,9-May-10,37
33395,Microgestin Fe 1 / 20,Birth Control,2,21-Oct-15,3
133845,Restasis,Keratoconjunctivitis Sicca,1,6-Oct-15,31
4554,Belviq,Weight Loss,7,30-Mar-16,25
214067,Tioconazole,Vaginal Yeast Infection,1,24-Apr-16,5
188073,Symbyax,Bipolar Disorde,7,28-Dec-08,17
118748,Zoloft,Depression,1,16-Nov-12,44
118795,Zoloft,Obsessive Compulsive Disorde,9,1-Mar-12,90
168672,Vilazodone,Major Depressive Disorde,3,22-Apr-16,15
24298,Tretinoin,Acne,8,31-Oct-08,68
46619,Gleevec,Chronic Myelogenous Leukemia,10,12-Sep-14,5
186587,Desvenlafaxine,Depression,7,30-Dec-09,175
98320,Nexplanon,Birth Control,9,31-Mar-15,0
156401,Ropinirole,Restless Legs Syndrome,10,13-Jun-11,4
195537,Aviane,Birth Control,3,5-Oct-15,4
230361,Depo-Provera,Endometriosis,7,24-Mar-14,40
106078,Gabapentin,Anxiety,8,9-May-16,66
104260,Ethinyl estradiol / levonorgestrel,Birth Control,8,5-Nov-12,8
17953,Ethinyl estradiol / etonogestrel,Birth Control,9,25-Dec-12,3
83706,Clomiphene,emale Infertility,10,16-Jun-15,171
117213,Clotrimazole,Oral Thrush,2,30-Jan-16,8
29210,Topiramate,Migraine Prevention,6,21-Sep-16,9
145099,Etonogestrel,Birth Control,1,8-Nov-15,9
96970,Ambien,Insomnia,10,14-Nov-15,14
37351,Vyvanse,ADHD,8,6-Jul-15,36
164015,Fluorouracil,Actinic Keratosis,10,18-Oct-16,10
99363,Genvoya,HIV Infection,10,24-Sep-17,3
72178,Tramadol,Pain,9,1-Aug-14,73
190911,Tessalon Perles,Cough,9,4-Jan-15,63
140329,Asenapine,Bipolar Disorde,10,24-Jun-11,11
112356,Gabapentin,Anxiety,1,24-Nov-16,40
51992,Adipex-P,Weight Loss,8,3-Jun-15,37
104100,Ethinyl estradiol / levonorgestrel,Birth Control,10,2-Oct-13,5
207893,Suprep Bowel Prep Kit,Bowel Preparation,8,23-Jul-15,15
214843,Prenatal Plus,Vitamin/Mineral Supplementation during Pregnancy/Lactation,10,4-Oct-11,19
167823,Keflex,Bacterial Infection,9,26-Mar-15,58
22756,Vitamin D2,Vitamin D Deficiency,10,18-Oct-09,150
17131,Flexeril,Sciatica,9,24-Dec-12,101
126217,Viibryd,Depression,10,20-Apr-12,70
71206,Lysteda,Menstrual Disorders,10,12-Jul-13,117
29756,Topiramate,Migraine Prevention,4,28-Nov-09,14
194346,Omnicef,Otitis Media,1,13-Apr-09,11
175354,Augmentin,Skin or Soft Tissue Infection,2,3-Sep-17,1
191287,Pentasa,Crohn's Disease,10,11-Mar-14,6
70362,Zofran,Nausea/Vomiting,7,21-Feb-10,15
103669,Kapidex,GERD,1,10-Jun-09,21
219262,Serzone,Depression,10,17-Dec-09,59
85190,Ethinyl estradiol / norgestimate,Birth Control,9,31-Aug-15,10
201089,Zoloft,Depression,4,25-Jan-17,16
20355,Hyoscyamine / methenamine / methylene blue / phenyl salicylate,Urinary Tract Infection,2,4-Nov-17,0
161518,Diphenhydramine,Insomnia,3,11-Feb-09,14
34603,Minocycline,Rheumatoid Arthritis,4,20-Mar-17,2
187531,Monistat 3-Day Combination Pack,Vaginal Yeast Infection,2,29-Mar-16,5
211618,Pitocin,Labor Induction,10,15-Aug-14,16
130982,Levonorgestrel,Birth Control,1,7-May-10,470
69918,Pyridostigmine,Myasthenia Gravis,8,12-Jun-11,20
187562,Naprosyn,Back Pain,9,28-Aug-12,30
188119,Elocon,Psoriasis,8,2-Oct-08,38
116135,Clindamycin,Skin or Soft Tissue Infection,8,9-Jan-17,8
134925,Pazopanib,Soft Tissue Sarcoma,10,26-Sep-14,61
123696,Skyla,Birth Control,1,7-Mar-17,2
162181,Denosumab,Osteoporosis,1,27-Jun-16,157
112931,Bisacodyl,Constipation,10,16-Dec-16,0
82840,Paxil,Anxiety,10,26-Oct-16,58
114731,Methotrexate,Psoriasis,9,6-May-14,86
26463,Sprintec,Ovarian Cysts,3,18-Jan-15,12
227344,Etonogestrel,Birth Control,1,23-Oct-13,3
152480,Ciprofloxacin,Kidney Infections,10,9-Nov-10,26
130786,Levonorgestrel,Birth Control,3,7-Nov-11,0
38072,Adipex-P,Weight Loss,1,23-Jan-16,11
81626,Liraglutide,Weight Loss,10,7-Jul-17,12
176057,Buprenex,Pain,10,16-Jun-11,15
123346,Apri,Birth Control,7,16-May-13,5
107567,Implanon,Birth Control,10,23-Nov-10,2
21389,Benzoyl peroxide / erythromycin,Acne,8,30-May-17,2
154831,Metronidazole,Giardiasis,5,4-May-17,0
145518,Qsymia,Weight Loss,10,3-Nov-16,69
28807,Lexapro,Depression,8,6-Nov-09,20
92082,Lyrica,ibromyalgia,9,26-Feb-13,68
94171,Trintellix,Depression,9,31-Oct-15,48
155506,Metronidazole,Diverticulitis,10,12-Dec-14,30
30163,Klonopin,Anxiety,9,10-Jul-15,51
204329,BuSpar,Anxiety,3,24-Jul-17,21
208349,Oseltamivir,Influenza,10,4-Feb-16,5
32998,Seasonique,Abnormal Uterine Bleeding,2,7-May-15,8
212684,Niravam,Anxiety,10,24-Jun-11,38
187972,Etonogestrel,Birth Control,10,11-Oct-17,4
89158,Celexa,Anxiety and Stress,7,5-Mar-17,62
187715,Codeine / guaifenesin,Cough,10,22-Mar-10,28
224859,Bupropion,Depression,10,26-Oct-16,145
30417,Klonopin,Anxiety,10,30-Oct-09,84
10478,Spironolactone,Acne,9,17-May-16,5
59972,NuvaRing,Birth Control,1,17-Jul-15,9
34908,Minocycline,Acne,10,5-Jul-15,15
79437,Plan B One-Step,Emergency Contraception,10,4-May-15,24
9061,Cefuroxime,Sinusitis,10,15-Oct-16,31
137998,Ortho Evra,Birth Control,7,16-Nov-15,1
45774,Fluoxetine,Panic Disorde,3,19-Jul-11,3
7953,Xanax,Anxiety,9,27-Apr-12,32
92592,Ondansetron,Gastroenteritis,10,26-Apr-09,66
156591,Dulaglutide,"Diabetes, Type 2",1,18-May-17,12
25584,Supartz,Osteoarthritis,3,4-Apr-16,20
87535,Naproxen,Period Pain,7,19-Oct-15,9
53673,Alesse,Birth Control,6,18-Aug-09,15
24171,Tretinoin,Acne,10,6-Oct-15,16
97320,Ambien,Insomnia,6,4-Oct-09,35
100825,Orlistat,Obesity,9,18-Nov-15,35
219535,Microgestin Fe 1.5 / 30,Birth Control,9,26-Jul-15,5
81176,Yaz,Birth Control,3,10-Aug-17,10
105726,Methylprednisolone,Inflammatory Conditions,7,13-Aug-14,22
182710,Cymbalta,Osteoarthritis,3,2-Jul-17,8
109035,Nexplanon,Birth Control,1,12-May-17,4
116614,Aspirin / carisoprodol,Muscle Pain,7,11-Mar-16,0
217400,Clarithromycin,Pneumonia,10,10-Feb-16,20
184770,Canagliflozin,"Diabetes, Type 2",6,11-Nov-17,0
203523,Nasonex,Allergic Rhinitis,9,29-Aug-15,4
189422,Oxycodone,Pain,9,11-Mar-12,27
37359,Vyvanse,ADHD,8,1-May-15,28
33815,Junel Fe 1 / 20,Birth Control,1,8-Apr-17,6
60892,Kombiglyze XR,6</span> users found this comment helpful.,10,4-Oct-12,6
35380,Levofloxacin,Sinusitis,10,9-Jan-11,42
159532,Pegfilgrastim,Neutropenia Associated with Chemotherapy,8,20-Jan-16,13
139178,Phentermine,Weight Loss,10,9-Sep-08,50
129061,Levonorgestrel,Emergency Contraception,10,12-Nov-15,13
32615,Lisinopril,High Blood Pressure,10,9-Sep-09,13
58718,Azelaic acid,Rosacea,2,27-Nov-16,6
148790,Mirena,Birth Control,1,4-May-16,2
203871,Suvorexant,Insomnia,1,18-Feb-16,16
212539,Lysine,"Herpes Simplex, Suppression",8,22-Sep-17,6
177996,Duloxetine,Pain,1,24-Apr-12,32
154285,Nexium,GERD,6,25-Jan-10,22
33923,Junel Fe 1 / 20,Menstrual Disorders,2,3-Jun-15,5
61402,Citalopram,Anxiety and Stress,10,29-Jul-17,206
221103,Drysol,Hyperhidrosis,10,9-May-16,14
30750,Miconazole,Vaginal Yeast Infection,1,8-Aug-17,4
209020,Corticotropin,Multiple Sclerosis,1,3-Oct-15,3
80264,Benzonatate,Cough,10,17-Dec-15,10
210901,Mirtazapine,Depression,10,2-Feb-16,44
28121,Lexapro,Generalized Anxiety Disorde,10,18-Sep-15,77
66762,Seroquel,24</span> users found this comment helpful.,9,19-Sep-13,24
98350,Nexplanon,Birth Control,9,23-Apr-15,5
189698,Oxycodone,Pain,10,8-Jul-09,42
56849,Meclizine,Vertig,9,22-Jul-09,46
162715,Cefdinir,Sinusitis,10,4-Nov-17,0
218532,Tri-Sprintec,Birth Control,10,8-Aug-17,2
106428,Implanon,Birth Control,7,2-May-16,8
61511,Citalopram,Depression,1,13-May-17,8
101714,Methocarbamol,Muscle Spasm,1,11-Nov-15,4
96811,Ambien,Insomnia,8,21-Nov-16,25
51100,Azithromycin,Bronchitis,8,28-Jul-16,9
218632,Tri-Sprintec,Birth Control,1,3-May-16,3
13171,Sinemet,Restless Legs Syndrome,7,30-Aug-15,12
164009,Fluorouracil,Actinic Keratosis,3,6-Jan-17,7
38813,Esomeprazole,GERD,9,28-Nov-14,76
134165,Prednisone,Asthma,1,30-Apr-16,18
36834,Fentanyl,Pain,8,12-Aug-08,7
194727,Pseudoephedrine,Nasal Congestion,8,25-Jun-17,4
161188,Risperidone,Autism,9,2-May-10,44
34471,Alpha 1-proteinase inhibitor,Alpha-1 Proteinase Inhibitor Deficiency,10,15-Nov-08,11
165298,Phentermine / topiramate,Weight Loss,10,3-Mar-13,113
221053,Junel Fe 1.5 / 30,Birth Control,1,6-Apr-17,4
148989,Mirena,Birth Control,9,2-Oct-15,12
215610,Copper,Birth Control,1,27-Jun-17,6
116000,Divalproex sodium,Bipolar Disorde,7,20-Jun-12,48
212446,Lamotrigine,Bipolar Disorde,10,16-Jan-09,73
115738,Pravastatin,High Cholesterol,5,29-Nov-11,283
220353,Amitriptyline,Anxiety and Stress,4,13-Feb-14,62
12887,Vardenafil,Erectile Dysfunction,7,14-Oct-16,17
94677,Abilify,Bipolar Disorde,2,14-Aug-15,10
114107,Amlodipine,High Blood Pressure,2,1-Feb-15,89
173111,Clonazepam,Restless Legs Syndrome,10,26-Aug-11,28
124031,Skyla,Birth Control,5,16-Jun-16,1
126410,Carvedilol,High Blood Pressure,9,19-Feb-13,59
61207,Xyzal,Urticaria,10,25-Aug-11,32
97581,Budeprion SR,Depression,8,8-Nov-16,7
169744,Amitriptyline,ibromyalgia,2,17-Jan-11,46
185981,Desvenlafaxine,Depression,5,10-Jan-17,5
216769,Rosuvastatin,High Cholesterol,8,27-Mar-14,90
138923,Phentermine,Weight Loss,8,6-Dec-09,7
178597,Victoza,Weight Loss,4,17-May-17,17
50289,Gabapentin,Anxiety,10,25-Apr-14,199
148728,Mirena,Birth Control,10,17-Aug-16,8
135893,Percocet,Pain,10,17-Feb-11,4
38995,Contrave,Weight Loss,8,15-Aug-17,27
11713,Trulicity,"Diabetes, Type 2",3,20-Mar-17,67
49422,Ethinyl estradiol / levonorgestrel,Birth Control,2,26-Feb-16,1
37729,Vyvanse,ADHD,10,15-Aug-08,182
33854,Junel Fe 1 / 20,Birth Control,10,17-Jun-16,9
62983,Tranexamic acid,Menstrual Disorders,10,1-Jun-17,31
39589,Contrave,Obesity,9,3-Feb-16,23
109920,Nexplanon,Birth Control,1,7-Jun-16,2
128788,Phentermine,Weight Loss,10,24-Jan-15,91
59600,NuvaRing,Birth Control,1,20-Nov-17,0
221482,Dextromethorphan,Cough,10,4-Oct-14,13
34020,Junel Fe 1 / 20,Acne,6,13-Aug-11,16
6703,Paxil CR,Panic Disorde,1,9-Jun-16,3
52042,Adipex-P,Weight Loss,10,16-Nov-14,212
188701,ParaGard,Birth Control,9,16-Dec-15,6
151305,OxyContin,Pain,10,17-Jun-08,134
31769,Miconazole,Vaginal Yeast Infection,3,26-Nov-15,11
19076,Chlordiazepoxide,Anxiety,3,8-Jun-09,28
179410,Olanzapine,Bipolar Disorde,9,26-Oct-11,36
9532,Lo Loestrin Fe,Birth Control,1,3-May-16,5
165657,Levonorgestrel,Emergency Contraception,5,22-Apr-17,3
201205,Zoloft,Major Depressive Disorde,5,28-Aug-16,11
153732,Doxycycline,Acne,7,3-Aug-09,11
195429,Aviane,Birth Control,7,5-Sep-17,2
173580,CellCept,Systemic Lupus Erythematosus,8,26-Oct-09,38
212161,Lamotrigine,Bipolar Disorde,10,9-Apr-15,9
138646,Phentermine,Weight Loss,5,8-Mar-12,1
184605,Imodium A-D,Diarrhea,10,15-Sep-11,46
189119,Oxycodone,Pain,9,16-Oct-17,5
75490,Azathioprine,"Crohn's Disease, Acute",2,12-Sep-10,6
222923,Topamax,Migraine Prevention,10,9-Jan-10,3
144633,Etonogestrel,Birth Control,8,29-Feb-16,4
153744,Doxycycline,Acne,4,11-May-09,19
211529,Cobicistat / elvitegravir / emtricitabine / tenofovir alafenamide,HIV Infection,7,20-Jan-17,5
79066,Plan B One-Step,Emergency Contraception,5,22-Feb-17,4
144905,Etonogestrel,Birth Control,10,9-Jan-16,6
90693,Chateal,Birth Control,1,21-Aug-16,1
168284,Rizatriptan,Migraine,10,10-May-15,12
188570,ParaGard,Birth Control,9,10-Nov-16,0
217916,Strattera,Social Anxiety Disorde,8,8-Nov-08,15
7333,Monistat 7-Day Combination Pack,Vaginal Yeast Infection,1,6-Jul-17,11
10544,Spironolactone,Acne,10,21-Jan-15,36
66244,Valacyclovir,"Herpes Simplex, Suppression",1,17-Nov-16,9
72037,Tramadol,Depression,10,8-Jun-15,121
